23:19; Пользователь Eli: Результат вычисления формулы 3 + 5; 8.0; 
23:19; Пользователь Eli: Результат вычисления формулы 3 - 6/2; 0.0; 
2022/31/11/09/22/10:31:16; Пользователь Eli: Ввёл некорректную формулу f; ; 
2022/33/11/09/22/10:33:24; Пользователь Eli: Результат вычисления формулы -3; -3.0; 
